id,displayName,description,iconName,source,rarity,price,
Pipes +1,Stamping Die,"+1 to <sprite name=""[mat processed] pipe""> Pipes production. Gain additional <sprite name=""[mat processed] pipe""> Pipes every yield (from gathering, farming, or production).",Icon_Resource_Pipes,Order,Uncommon,0,
Bricks +1,Reinforced Brick Mold,"+1 to <sprite name=""[mat processed] bricks""> Bricks production. Gain additional <sprite name=""[mat processed] bricks""> Bricks every yield (from gathering, farming, or production).",Icon_Resource_Bricks,"Order, Relic",Uncommon,0,
Random Goods for Dearth,Seized Inheritance,The property of the deceased is seized for the benefit of the whole settlement. Gain 20 random goods every time a villager dies.,WitchCraftIcons_114_b,Order,Uncommon,0,
Accidental Pigment,Dye Extractor,"Gain 5 <sprite name=""[crafting] pigment""> Pigment for every 10 <sprite name=""[food raw] insects""> Insects produced.",winch_b,"Cornerstone, Order",Epic,0,
Lizard Resolve for Training Gear Prod,Training Grounds,"The settlement specializes in training gear production. Gain +1 to Lizard Resolve for every 70 <sprite name=""[needs] training gear""> Training Gear produced.",SGI_111,"Cornerstone, Order",Epic,0,
Scout +10,Scout's Pack,Workers assigned to Glade Events can carry 10 more items.,BagsAndBoxes_22,"Order, Relic",Rare,0,
Ale +5,Bigger Barrels,"+5 to <sprite name=""[needs] ale""> Ale production. Gain additional <sprite name=""[needs] ale""> Ale every yield (from gathering, farming, or production).",Icon_Resource_Ale,Order,Epic,0,
Training Gear 5pm,Training Gear Delivery Line,"5 <sprite name=""[needs] training gear""> Training Gear per minute.",Icon_Resource_TrainingGear,Order,Epic,0,
Packs of Goods +2,Export Specialization,Gain +2 to production yields for all packs of goods.,BagsAndBoxes_26,Order,Epic,0,
Barrels 5pm,Barrel Delivery Line,"5 <sprite name=""[vessel] barrels""> Barrels per minute.",Icon_Resource_Barrels,Order,Epic,0,
Mine +100,Rainpunk Drills,+100% to amount of goods produced in the Mine.,en_craft_10,Order,Epic,0,
Ale 5pm,Ale Delivery Line,"5 <sprite name=""[needs] ale""> Ale per minute.",Icon_Resource_Ale,"Order, Relic",Epic,0,
Pottery 5pm,Pottery Delivery Line,"5 <sprite name=""[vessel] pottery""> Pottery per minute.",Icon_Resource_Pottery,Order,Epic,0,
Planks +5,Reinforced Saw Blades,"+5 to <sprite name=""[mat processed] planks""> Planks production. Gain additional <sprite name=""[mat processed] planks""> Planks every yield (from gathering, farming, or production).",Icon_Resource_Planks,Order,Epic,0,
Copper Bar +5,Advanced Smelting,"+5 to <sprite name=""[metal] copper bar""> Copper Bars production. Gain additional <sprite name=""[metal] copper bar""> Copper Bars every yield (from gathering, farming, or production).",Icon_Resource_CopperBar,Order,Epic,0,
Biscuits 5pm,Biscuit Delivery Line,"5 <sprite name=""[food processed] biscuits""> Biscuits per minute.",Icon_Resource_Biscuits,Order,Epic,0,
Waterskins +5,Advanced Leatherworking,"+5 to <sprite name=""[vessel] waterskin""> Waterskins production. Gain additional <sprite name=""[vessel] waterskin""> Waterskins every yield (from gathering, farming, or production).",Icon_Resource_Waterskins,Order,Epic,0,
Planks +2,Reinforced Saw Blades,"+2 to <sprite name=""[mat processed] planks""> Planks production. Gain additional <sprite name=""[mat processed] planks""> Planks every yield (from gathering, farming, or production).",Icon_Resource_Planks,"Order, Relic",Rare,0,
Jerky +5,Salted Jerky,"+5 to <sprite name=""[food processed] jerky""> Jerky production. Gain additional <sprite name=""[food processed] jerky""> Jerky every yield (from gathering, farming, or production).",Icon_Resource_Jerky,Order,Epic,0,
Pie +5,Bigger Ovens,"+5 to <sprite name=""[food processed] pie""> Pie production. Gain additional <sprite name=""[food processed] pie""> Pie every yield (from gathering, farming, or production).",Icon_Resource_Pie,Order,Epic,0,
Copper Bars 4pm,Metal Delivery Line,"4 <sprite name=""[metal] copper bar""> Copper Bars per minute.",Icon_Resource_CopperBar,Order,Epic,0,
Brewery +60 (Composite),Advanced Brewing,+60% to amount of goods produced in the Brewery.,Brewery_icon,Order,Epic,0,
AncientGate_Hardships,Survivor Bonding,"The people in your settlement have survived many hardships, bringing them closer together (+10% villager speed, 1 Global Resolve).",SGI_61,"Cornerstone, Order, Relic",Legendary,0,
Beaver Resolve for Wine Prod,Vineyard Town,"The settlement specializes in wine production. Gain +1 to Beaver Resolve for every 70 <sprite name=""[needs] wine""> Wine produced.",Blackberry_01_b,"Cornerstone, Order",Epic,0,
Route Less Travel Time,Stormwalker Training,Your villagers learn how to travel the wilderness from the very best - the Royal Stormwalkers. All trade routes are faster by 40%.,book_05_b,"Cornerstone, Order",Epic,0,
Woodcutters Camp +100,Reinforced Tools,+100% to amount of goods produced in the Woodcutters' Camp.,Woodcutters Camp_icon,Order,Epic,0,
Pottery +5,Rain-Powered Pottery Wheel,"+5 to <sprite name=""[vessel] pottery""> Pottery production. Gain additional <sprite name=""[vessel] pottery""> Pottery every yield (from gathering, farming, or production).",Icon_Resource_Pottery,Order,Epic,0,
Pickled goods 5pm,Pickled Goods Delivery Line,"5 <sprite name=""[food processed] pickled goods""> Pickled Goods per minute.",Icon_Resource_PickledGoods,Order,Epic,0,
Amber for Trade Routes,Deep Pockets,"Receive 10 <sprite name=""[valuable] amber""> Amber for every 5 completed trade routes.",TradingIcons_97,"Cornerstone, Order",Epic,0,
Pie +2,Bigger Ovens,"+2 to <sprite name=""[food processed] pie""> Pie production. Gain additional <sprite name=""[food processed] pie""> Pie every yield (from gathering, farming, or production).",Icon_Resource_Pie,Order,Uncommon,0,
Farmer +10,Farmer's Pack,Any Farmer can carry 10 additional items.,BagsAndBoxes_10,"Order, Relic",Rare,0,
Lumber Speed +50,Reinforced Axes,Woodcutting is a lot easier. Woodcutters' Camp production is 35% quicker.,axe_b_01,"Cornerstone, Order",Epic,0,
Bakery +50,Reinforced Stoves,+50% to amount of goods produced in the Bakery.,Bakery_icon,Order,Epic,0,
Food Production Speed +33,Viceroy's Survival Guide,"A handy set of notes on how to survive in the wilderness, written by an anonymous viceroy. Increases global food production speed by 33%.",ScrollsAndBooks_94,Order,Rare,0,
Paper +5,Advanced Press,"+5 to <sprite name=""[needs] scrolls""> Scrolls production. Gain additional <sprite name=""[needs] scrolls""> Scrolls every yield (from gathering, farming, or production).",Icon_Resource_Scrolls,Order,Epic,0,
Pickled Goods +2,Pickle Jars,"+2 to <sprite name=""[food processed] pickled goods""> Pickled Goods production. Gain additional <sprite name=""[food processed] pickled goods""> Pickled Goods every yield (from gathering, farming, or production).",Icon_Resource_PickledGoods,Order,Uncommon,0,
Training Gear +2,Woodworking Tools,"+2 to <sprite name=""[needs] training gear""> Training Gear production. Gain additional <sprite name=""[needs] training gear""> Training Gear every yield (from gathering, farming, or production).",Icon_Resource_TrainingGear,"Order, Relic",Uncommon,0,
Incense 5pm,Incense Delivery Line,"5 <sprite name=""[needs] incense""> Incense per minute.",Icon_Resource_Incense,Order,Epic,0,
Accidental Skewers,Zhorg's Secret Ingredient,"A mysterious ingredient discovered by the famous chef and businessman Zhorg. Gain 10 <sprite name=""[food processed] skewers""> Skewers for every 10 <sprite name=""[food processed] pickled goods""> Pickled Goods produced.",PotionIconsAdd_20_b,"Cornerstone, Order",Epic,0,
Ink +5,Big Phials,"+5 to <sprite name=""[crafting] pigment""> Pigment production. Gain additional <sprite name=""[crafting] pigment""> Pigment every yield (from gathering, farming, or production).",Icon_Resource_Pigment,Order,Epic,0,
Pack of Trade Goods Worth More,Value Added Tax,"Specializing in a particular branch of commerce can bring a lot of profit. <sprite name=""[packs] pack of trade goods""> Packs of trade goods are worth 25% more when sold through trade routes or directly to traders.",TrophyIcons_75_b,"Cornerstone, Order, Relic",Epic,0,
Storm Water +1,Force of Nature,"+1 to <sprite name=""[water] storm water""> Storm Water production. Gain additional <sprite name=""[water] storm water""> Storm Water every yield (from gathering, farming, or production).",Icon_Resource_StormWater,Order,Uncommon,0,
Accidental Lizard,Surprise Child,"Gain 1 Lizard for every 25 <sprite name=""[food raw] eggs""> Eggs produced.",PrehistoricIcon_129_b,Cornerstone,Epic,0,
Accidental Oil,Small Press,"A useful mill upgrade. Gain 3 <sprite name=""[crafting] oil""> Oil for every 10 <sprite name=""[crafting] flour""> Flour produced.",en_craft_86,"Cornerstone, Relic",Epic,0,
Accidental Provisions,Peasant Supplies,"Receive 3 <sprite name=""[packs] pack of provisions""> Pack of Provisions for every new villager.",BagsAndBoxes_60,Cornerstone,Epic,0,
Amber for Trader Visit,Bed and Breakfast,"This time, it's the guild who’s going to pay you, not the other way around. Gain 10 <sprite name=""[valuable] amber""> Amber every time a trader arrives.",TradingIcons_141_b,Cornerstone,Epic,0,
Bakery Speed +50,Bread Peels,Bakery production is 50% quicker.,en_craft_58,Cornerstone,Epic,0,
Brewery Speed +50 (Composite),Rain Pumps,Brewery production is 50% quicker.,Brewery_icon,Cornerstone,Epic,0,
Cannibalism,Cannibalism,"Gain 30 <sprite name=""[food raw] meat""> Meat every time a villager dies or leaves.",NecromancerIcons_81_b,Cornerstone,Epic,0,
Clay 3pm,Clay Delivery Line,"3 <sprite name=""[mat raw] clay""> Clay per minute.",Icon_Resource_Clay,Cornerstone,Epic,0,
Corruption Per Removed Cyst -50,Firekeeper's Armor,Allows firekeepers to combat corruption more efficiently. Every burned cyst removes an additional 50 corruption.,NecromancerIcons_42_b,Cornerstone,Epic,0,
Crops for Grain,Leftover Crops,"Gain 2 <sprite name=""[packs] pack of provisions""> Pack of Provisions for every 10 <sprite name=""[food raw] herbs""> Herbs produced.",194_b,Cornerstone,Epic,0,
Extra Trader Merch,Guild Catalogue,Traders will have 1 more perk or blueprint for sale.,ScrollsAndBooks_32,Cornerstone,Epic,0,
Fiber 3pm,Fiber Delivery Line,"3 <sprite name=""[mat raw] plant fibre""> Plant Fiber per minute.",Icon_Resource_PlantFiber,Cornerstone,Epic,0,
Grain 3pm,Grain Delivery Line,"3 <sprite name=""[food raw] grain""> Grain per minute.",Icon_Resource_Grain,Cornerstone,Epic,0,
Herb Production for Biscuits,Spices,"<sprite name=""[food raw] herbs""> Herb and <sprite name=""[food raw] roots""> Root production is increased by +1 for every 75 <sprite name=""[food processed] biscuits""> Biscuits produced.",TradingIcons_02,Cornerstone,Epic,0,
Herbs +2,Sharp Sickles,"+2 to <sprite name=""[food raw] herbs""> Herbs production. Gain additional <sprite name=""[food raw] herbs""> Herbs every yield (from gathering, farming, or production).",Icon_Resource_Herbs,"Cornerstone, Relic",Epic,0,
Hostility for Caches,Silent Looting,"Your scouts have learned how to be cautious when looting abandoned caches. Every time you open or send an Abandoned Cache to the Citadel, Hostility is lowered by ‑15 points.",SpellBookPage09_97,Cornerstone,Epic,0,
Hostility for Relics,Frequent Patrols,Every Glade Event solved by making a decision marked as Loyalty lowers Hostility by ‑10. (the bonus is added retroactively),helmets_13,Cornerstone,Epic,0,
Hubs for newcomer goods,Generous Gifts,Wealthy settlements attract wealthy settlers. Newcomers bring 40% more goods with them for every Hearth level gained.,TrophyIcons_108_b,Cornerstone,Epic,0,
Leather +2,Tanning Racks,"+2 to <sprite name=""[mat raw] leather""> Leather production. Gain additional <sprite name=""[mat raw] leather""> Leather every yield (from gathering, farming, or production).",Icon_Resource_Leather,"Cornerstone, Relic",Epic,0,
LessHostilityPerWoodcutter,Flame Amulets,An artifact infused with the power of the Holy Flame. Hostility from woodcutters is decreased by 4.,60_b,Cornerstone,Epic,0,
Local Taxes,Local Taxes,"Villagers are willing to give you their very last piece of Amber just for a pint of decent ale. Gain 12 <sprite name=""[valuable] amber""> Amber for every 50 <sprite name=""[needs] ale""> Ale produced.",beer,Cornerstone,Epic,0,
Meat Specialization,Meat Specialization,"You've managed to enlist some excellent hunters. <sprite name=""[food raw] meat""> Meat production increases by +1 every 25 times it's produced.",HuntingIcons_108_b,Cornerstone,Epic,0,
Mold Grain,Moldy Grain Seeds,"A new type of grain. Gain 3 <sprite name=""[food raw] mushrooms""> Mushrooms for every 10 <sprite name=""[food raw] grain""> Grain produced.",ForestIcons_100_b,Cornerstone,Epic,0,
More Amber from Routes,Trade Negotiations,"Trade routes are worth 1 more <sprite name=""[valuable] amber""> Amber. Doesn't apply to routes already in progress. This effect scales along with the quantity of goods exported.",BlueLootBox_90_b,Cornerstone,Epic,0,
NeedPerk Biscuit Farmers,Biscuit Diet,"A farmer's favorite food. Farmers have a +75% chance of producing double yields when under the effect of <sprite name=""[food processed] biscuits""> biscuits.",TradingIcons_129_b,Cornerstone,Epic,0,
NeedPerk Leisure Production,Well-Rested Workers,Just. The. Right. Amount. Villagers with the leisure need fulfilled have a +25% chance of doubling their yields.,SGI_100,Cornerstone,Epic,0,
NewNewcomersBonus_Random,Crowded Caravan,Each newcomer group has 2 additional villagers.,SGI_145,Cornerstone,Epic,0,
Reed +2,Leather Gloves,"+2 to <sprite name=""[mat raw] reeds""> Reed production. Gain additional <sprite name=""[mat raw] reeds""> Reed every yield (from gathering, farming, or production).",Icon_Resource_Reeds,"Cornerstone, Relic",Epic,0,
Resolve for chests,Prosperous Archaeology,"The people are invigorated by every discovered cache. Every time you open or send 2 Abandoned Caches to the Citadel, you gain +1 to Global Resolve.",SGI_29,"Cornerstone, Relic",Epic,0,
Resolve for Standing,Friendly Relations,Boosts Global Resolve by 1 for every 3 levels of standing with other settlements in trade routes. (the bonus is added retroactively),SGI_25,Cornerstone,Epic,0,
Roots 3pm,Root Delivery Line,"3 <sprite name=""[food raw] roots""> Roots per minute.",Icon_Resource_Roots,Cornerstone,Epic,0,
Sacrifice Cost for Impatience,Fiery Wrath,Resources you sacrifice in the Ancient Hearth burn 5% longer for every Impatience Point you have.,SpellBookPage09_10,Cornerstone,Epic,0,
SmallFarm +50 (Composite),Reinforced Tools,+50% to amount of goods produced in the Small Farm.,SmallFarm_icon,Cornerstone,Epic,0,
Stone +2,Steel Pickaxes,"+2 to <sprite name=""[mat raw] stone""> Stone production. Gain additional <sprite name=""[mat raw] stone""> Stone every yield (from gathering, farming, or production).",Icon_Resource_Stone,"Cornerstone, Relic",Epic,0,
Stone in Clay Pit,Steel Mattocks,"<sprite name=""[mat raw] stone""> Stone (<sprite name=grade2>) can now be produced in the Clay Pit.",pick_b_01,Cornerstone,Epic,0,
Tablets for Events,Hidden Reward,"Gain 1 <sprite name=""[valuable] ancient tablet""> Ancient Tablet for every 2 completed Glade Events. (the bonus is added retroactively)",runestone_b_06,Cornerstone,Epic,0,
Trade Routes Bonus Fuel,Tightened Belt,Travel cost on trade routes is reduced by -1. Doesn't apply to routes already in progress. This effect scales along with the quantity of goods exported.,SGI_addons_182,Cornerstone,Epic,0,
Vegetables in Greenhouse,Moss Broccoli Seeds,"<sprite name=""[food raw] vegetables""> Vegetables (<sprite name=grade2>) can now be produced in the Greenhouse.",am_b_06,Cornerstone,Epic,0,
Villager for glade,Lost in the Wilds,Gain one villager every time you discover a new glade.,green_03,Cornerstone,Epic,0,
Working time for firekeeper,Prayer Book,Scouts work 10% faster on Glade Events for every firekeeper assigned to a Hearth.,book_b_03,Cornerstone,Epic,0,
Newcomers Faster 25,Secure Trail,Royal Stormwalkers secured the trail to your settlement. Newcomers will arrive +25% quicker.,BlueLootBox_43_b,Cornerstone,Epic,0,
Woodcutting speed for water,Driving Water,Water is not only used to power engines. Woodcutting speed will increase by +10% for every 150 units of water used in Rain Engines.,b_55,Cornerstone,Epic,0,
Storm Water for Woodcutters,Force of Nature,The forest and the everlasting rain are connected somehow. Gain +3 to storm water production for every 2 Woodcutters in your settlement. Increases the tank capacity for every type of rainwater by +50 (one time only).,sffi_04,Cornerstone,Epic,0,
Herb Garden +50 (Composite),Advanced Herbalism,+50% to amount of goods produced in the Herb Garden.,Herb Garden_icon,Cornerstone,Epic,0,
Plantation +50,Large Baskets,+50% to amount of goods produced in the Plantation.,Plantation_icon,Cornerstone,Epic,0,
Grove +50,Industrialized Agriculture,+50% to amount of goods produced in the Forester's Hut.,Grove_icon,Cornerstone,Epic,0,
Porridge Prod for water,Filling Dish,Porridge production increases by +1 for every 150 units of drizzle water produced.,176_b,Cornerstone,Epic,0,
Resolve for Glade,Woodcutter's Song,"It's off to work we go. For every 20 felled trees, Global Resolve is increased by 3 for 120 seconds.",ForestIcons_32_b,Cornerstone,Epic,0,
Accidental Barrels,Over-Diligent Woodworkers,"Some woodworkers just can't stop working. Gain 3 <sprite name=""[vessel] barrels""> Barrels for every 10 <sprite name=""[mat processed] planks""> Planks produced.",8098_b,Cornerstone,Legendary,0,
Alarm Bells,Alarm Bells,The Brass Order's newest invention - an intricate system of sensors that can detect Corruption before it spreads too much. Workers have a +25% higher chance of producing double yields when the Hearth's Expected Corruption Rate is 150% or higher.,en_craft_48,Cornerstone,Legendary,0,
All Camps Unlock,Master Blueprint,"A collection of architectural drafts from a very early period in the Citadel's history. Unlocks all camp blueprints and upgrades all small camps to their advanced versions, but gathering speed is decreased by 50% until you use up at least 300 resource node charges.",BlueLootBox_89_b,Cornerstone,Legendary,0,
Amber for Newcomers,Stormwalker Tax,"A joint venture with the Stormwalker Guild can be very profitable. You gain 15 <sprite name=""[valuable] amber""> Amber every time you accept a newcomer group from the Citadel, but you’ll lose all stored Amber upon choosing this cornerstone.",SGI_59,Cornerstone,Legendary,0,
Amber for Water,Counterfeit Amber,"Apparently, there is a technique for extracting crystals similar to Amber from rainwater. Gain 10 <sprite name=""[valuable] amber""> Amber every time you use 50 units of water in Rain Engines. Blightrot Cysts grow 25% quicker when using Rain Engines.",126,Cornerstone,Legendary,0,
Amber for Wood,Lumber Tax,"Gain 1 <sprite name=""[valuable] amber""> Amber for every 50 <sprite name=""[mat raw] wood""> Wood produced.",SGI_158,Cornerstone,Legendary,0,
Artifact for Dangerous Relic,From the Ashes,"An odd talisman made from the talons of a phoenix. Gain 2 <sprite name=""hearth parts""> Wildfire Essence for every 2 completed Dangerous or Forbidden Glade Events. (except cloned events spawned by fishmen caves and blood flowers)",dd_02_b,Cornerstone,Legendary,0,
Back To Nature,Back to Nature,"An old, forbidden ritual. Increases yields by 100% in all buildings that use fertile soil. You will lose all stored food (cooked and raw) upon choosing this cornerstone.",green_23,Cornerstone,Legendary,0,
Blight Rate for Resolve Reputation,Blight Filter,"A crystalline filter designed to mitigate the negative environmental impact of infused rainwater. Blightrot Cysts appear 50% slower when using rain engines, but Reputation from Resolve is generated 90% slower for the next 2 Reputation Points.",engeniring_08_b,Cornerstone,Legendary,0,
Coal for Cysts,Burnt to a Crisp,"Gain 20 <sprite name=""[crafting] coal""> Coal for every 3 burned Blightrot Cysts.",orb_11_b,"Cornerstone, Relic",Legendary,0,
Construction cost for nodes,Cheap Construction,"All buildings cost 40% less, but every newly discovered resource node has -5 fewer charges.",SGI_65,Cornerstone,Legendary,0,
Consumption Control for Extra Production,Without Restrictions,"Villagers have a +10% higher chance of producing double yields, but consumption control is disabled.",PrehistoricIcon_102_b,Cornerstone,Legendary,0,
Copper For Trees [Parent],Copper Extractor,"Machinery specialized in extracting copper from petrified trees. Gain 1 <sprite name=""[metal] copper ore""> Copper Ore for every 5 <sprite name=""[mat raw] wood""> Wood produced. All <sprite name=""[metal] crystalized dew""> Crystalized Dew production is reduced by 1 (whether from gathering, farming, or production).",en_craft_52,Cornerstone,Legendary,0,
Exploring Expedition,Exploration Expedition,"You took some of the best explorers from the Smoldering City with you. Global Resolve is boosted by +5 for 180 seconds every time a new glade is discovered, but woodcutting is 33% slower until you open at least 2 glades.",SGI_132,Cornerstone,Legendary,0,
Extra Prod for consumption,Worker's Rations,"All workers have a +10% higher chance of producing double yields, but they also have a +20% higher chance of consuming twice as much food during a break.",ForestIcons_57_b,Cornerstone,Legendary,0,
Families Gratitude,Family Gratitude,"Relatives of your villagers send gifts for treating their family members well. Get 40 <sprite name=""[vessel] waterskin""> Waterskins for every full Reputation Point obtained through high Resolve.",BagsAndBoxes_58,Cornerstone,Legendary,0,
Farming -25 for Wood +1,Rooty Ground,"Strange roots spread across the land. <sprite name=""[mat raw] wood""> Wood production is increased by +1, but harvesting and planting are 25% slower.",SpellBookPage09_07,Cornerstone,Legendary,0,
Fedora Hat,Old Fedora Hat,"An old inscription on the bottom of the hat says: ""Fortune and glory"". Increases the chance of bringing back twice as much from Glade Events by 50%.",121_b,Cornerstone,Legendary,0,
Food Production For Engines,Cooking Steam,"If you leave rainwater for a while, it will begin to release a pleasant and warm vapor. Food production speed is increased by +10% for every 50 units of drizzle water stored.",b_63,Cornerstone,Legendary,0,
Forbidden for Hostility,Secure Perimeter,"Securing the deadliest corners of the forest will make it a lot less terrifying. Every discovered Forbidden Glade lowers the Hostility gained from Dangerous and Forbidden Glades by 2, and from small glades by 1. (the bonus is added retroactively)",SGI_149,Cornerstone,Legendary,0,
Forge Trip Hammer,Forge Trip Hammer,"Powerful and precise machinery. <sprite name=""[mat processed] parts""> Parts (<sprite name=grade3>) can be produced in the Smithy.",SGI_55,Cornerstone,Legendary,0,
Hidden From The Queen,Hidden from the Queen,"The crown doesn't need to know everything. There is no Impatience penalty when villagers leave or die, but Impatience will grow 600% faster, starting from Drizzle year 9.",gray_12,Cornerstone,Legendary,0,
Hostility for Dangerous Relics,Calming the Forest,One who lives in harmony with himself lives in harmony with all. Every Glade Event solved by making a decision marked as Empathy lowers Hostility by ‑40. (the bonus is added retroactively),SGI_57,Cornerstone,Legendary,0,
Hostility for Removed Cysts,Baptism of Fire,"Every 3 burnt Blightrot Cysts lowers Hostility by ‑10. While the Hearth is corrupted, you’re unable to sacrifice resources.",ScrollsAndBooks_26,Cornerstone,Legendary,0,
Hostility for Sales,Protected Trade,"The forest recedes, as heavily guarded trade caravans pour into the settlement. Hostility is reduced by ‑10 points every time you sell goods worth 30 Amber.",SGI_118,Cornerstone,Legendary,0,
Hostility for Water,Calming Water,Rainwater seems to soothe the forest. Hostility is reduced by ‑10 points every time you use 150 units of water in Rain Engines.,blue_07,Cornerstone,Legendary,0,
Houses Global Capacity +1,Crowded Houses,All houses have room for 1 more villager.,SGI_114,Cornerstone,Legendary,0,
HP for Impatience,Queen's Gift,A mysterious Amber orb with a magical flame trapped within. Increases the Ancient Hearth's resistance by 250 for every 2 woodcutters in your settlement.,addons_13_b,Cornerstone,Legendary,0,
Hubs for hostility,Safe Haven,Hostility is reduced by 40 for every Hearth upgraded to: Neighborhood (Level 2) (or higher).,element(air)_b_01,Cornerstone,Legendary,0,
HunterGatherers,Hunter-Gatherers,"All camp production is increased by 100%, but all buildings that use fertile soil have their yields decreased by 50%. Bonus does not affect the Woodcutters' Camp.",SGI_56,Cornerstone,Legendary,0,
Insect for tree,Woodpecker Technique,"Gain 2 <sprite name=""[food raw] insects""> Insects every time woodcutters cut down a tree during the Storm.",ForestIcons_35_b,Cornerstone,Legendary,0,
Killed for GladeInfo,Ancient Pact,"The cost of knowledge can be very high. You can see the content of undiscovered glades, but discovering Dangerous or Forbidden Glades kills 1 villager.",violet_08,Cornerstone,Legendary,0,
Lower Hostility For Religion,Firelink Ritual,There is nothing the forest hates more than fire. Every villager with their need for religion fulfilled decreases the forest’s Hostility by 5.,red_01,Cornerstone,Legendary,0,
Meat and Grain for Events,Lost Supplies,"An unusual amount of supplies can be found in some glades. Gain 40 <sprite name=""[food raw] meat""> Meat and 40 <sprite name=""[food raw] grain""> Grain for each completed Dangerous or Forbidden Glade Event. (except cloned events spawned by fishmen caves and blood flowers)",BagsAndBoxes_108,Cornerstone,Legendary,0,
Mists Piercers,Mist Piercers,"You are allowed to use the legendary Mist Piercers. With such a rare gift at your disposal, the Queen's expectations are high. The content of glades will be revealed, but each discovered glade increases the Queen’s Impatience by 0.5.",SpellBook06_112,Cornerstone,Legendary,0,
More Trade Offers,Market Shift Plan,"Big strategic changes always come with an adjustment period. Every neighboring town offers +2 more trade routes, but no trader will arrive in your settlement until you complete at least 5 trade routes. Traders currently staying in the settlement will leave immediately.",ScrollsAndBooks_add_009_b,Cornerstone,Legendary,0,
Mushrooms in Farms,Mushroom Seedlings,"All farms can plant <sprite name=""[food raw] mushrooms""> mushrooms (<sprite name=grade2>) on farm fields during drizzle season.",artifact_06_b,Cornerstone,Legendary,0,
Newcomer Rate for Trade Routes,Economic Migration,Rumor has it that your settlement is one of the wealthiest in the realm. Newcomers will arrive 15% quicker and bring 10% more goods for every 1 level of standing you have with other settlements on trade routes. (the bonus is added retroactively),addons_25_b,Cornerstone,Legendary,0,
Overexploitation,Overexploitation,"Newly discovered resource nodes have more charges (+15 charges to small deposits, +40 charges to large deposits), but you'll gain +10 Hostility upon picking this cornerstone.",MiningIcons_54_b,Cornerstone,Legendary,0,
Parts for Trade,Free Samples,"Gain 1 <sprite name=""[mat processed] parts""> Parts every time you sell goods worth 25 Amber.",pt_b_11,Cornerstone,Legendary,0,
ProdSpeedForEducation,Work Safety Guide,A standardized set of rules. Every villager with their need for education fulfilled increases global production speed by 5%.,ScrollsAndBooks_51,Cornerstone,Legendary,0,
RawDepositsCharges_10,Rich Glades,"Newly discovered resource nodes have more charges: +5 for small deposits, and +15 for large deposits.",green_29,Cornerstone,Legendary,0,
Relic time reduction,Firekeeper's Prayer,Glade event work speed increased by 30%. Resources you sacrifice in the Ancient Hearth burn 25% quicker.,SpellBookPage09_110,Cornerstone,Legendary,0,
Reputation from Trade,Trade Hub,"The settlement is known as a trading hub in the region. Gain 1 Reputation Point every time you sell goods worth 60 Amber, while slowing the Reputation gained from Resolve by 75%.",TradingIcons_112,Cornerstone,Legendary,0,
Resolve for consumption,Generous Rations,"Global Resolve is increased by 5, but the chance of villagers consuming twice the amount of food during a break is increased by +50%.",BagsAndBoxes_32,Cornerstone,Legendary,0,
Resolve for Impatience,Rebellious Spirit,"The people are feeling oddly rebellious. Gain +1 Global Resolve for every 2 Impatience Points. Every time a villager leaves or dies, Impatience is increased by an additional 0.2 points.",red_07,Cornerstone,Legendary,0,
Resolve For Sales,Prosperous Settlement,"Gain +1 to Global Resolve every time you sell goods worth 50 <sprite name=""[valuable] amber""> Amber.",BlueLootBox_34_b,Cornerstone,Legendary,0,
Resolve for started Route,Frequent Caravans,The Crown is very forgiving - as long as the goods keep flowing. Impatience grows 30% slower for 180 seconds every time you finish a trade route.,rc_b_01,Cornerstone,Legendary,0,
Royal Guard Training,Royal Guard Training,"The Crown sends two Royal Guards to your village. Instead of simply brawling, villagers will now train under them. Fulfilling the need for brawling grants an additional +5 to Resolve, but attacking a trader will result in you getting 2 extra Impatience Points.",helmets_19,Cornerstone,Legendary,0,
Tools for death,Bone Tools,"Gain 3 <sprite name=""[tools] simple tools""> Tools every time a villager leaves or dies.",NecromancerIcons_50_b,Cornerstone,Legendary,0,
Tools for glade,Improvised Tools,"Woodcutters are tasked with creating makeshift tools. Discovering a glade during the Storm grants 10 <sprite name=""[tools] simple tools""> Tools.",BlueLootBox_81_b,Cornerstone,Legendary,0,
Trade Block for Production Speed,Deserted Caravans,"Global production speed is 33% faster, but traders will arrive 50% slower.",SGI_82,Cornerstone,Legendary,0,
Trade routes for housing spots,Urban Planning,"For every 10 completed trade routes, all houses will have room for one more person.",ScrollsAndBooks_45,Cornerstone,Legendary,0,
Wood +2 for insects,No Quality Control,"Gain +2 to wood production. After each storm, all stored wood is removed, and you get 50 <sprite name=""[food raw] insects""> Insects in return.",wd_b_02,Cornerstone,Legendary,0,
Woodcutters Prayer,Woodcutter's Prayer,"If you want to take, you first must give. +1 to <sprite name=""[mat raw] wood""> Wood production. Lose all stored fuel upon picking this cornerstone.",yellow_29,Cornerstone,Legendary,0,
Working Speed For Small Glade,Farsight,Scouting ahead makes it easier to prepare for the worst. Discovering a small glade increases the working speed of scouts investigating Dangerous or Forbidden Glade Events by 50% for 180 seconds.,TrophyIcons_109_b,Cornerstone,Legendary,0,
